tokens,tags,polarities
"('I', 'ordered', 'the', 'crab', 'cocktail', 'and', 'it', 'was', 'soaked', 'in', 'a', 'lime', 'juice', 'concoction', 'where', 'all', 'you', 'could', 'taste', 'was', 'the', 'lime', '.')","('0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '1', '2', '2', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('That', 'is', 'a', 'problem', 'since', 'we', 'paid', 'about', '20', 'bucks', 'a', 'dish', ',', 'and', 'had', 'to', 'order', '5', 'dishes', 'to', 'get', 'a', 'decent', 'taste', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1')"
"('Service', 'is', 'great', ',', 'takeout', 'is', 'good', 'too', '.')","('1', '0', '0', '0', '1', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1')"
"('The', 'only', 'fallback', 'on', 'this', 'restaurant', 'is', 'the', 'prices', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1')"
"('service', 'is', 'friendly', ',', 'and', 'never', 'had', 'a', 'problem', 'walking', 'in', 'and', 'getting', 'a', 'table', '.')","('1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '2', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '2', '2', '-1')"
"('Went', 'to', 'Ottimo', 'and', 'was', 'expecting', 'outstanding', 'pizza', '-LRB-', 'as', 'I', 'love', 'La', 'Pizza', 'Fresca', '-RRB-', '.')","('0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('They', 'offer', 'the', 'same', 'menu', 'but', 'have', 'creative', 'drinks', 'that', 'are', 'loaded', 'with', 'alcohol', 'and', 'cheeky', 'names', '--', 'but', 'they', 'do', 'cost', 'you', '.')","('0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Deep', 'Fried', 'Skewers', 'are', 'good', 'and', 'still', 'rare', 'to', 'find', 'in', 'NYC', '.')","('1', '2', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('2', '2', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('I', 'recommend', 'this', 'place', 'to', 'everyone', 'who', 'asks', 'me', 'where', 'to', 'go', 'for', 'a', 'good', 'meal', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('The', 'place', 'is', 'small', 'and', 'cramped', 'but', 'the', 'food', 'is', 'fantastic', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0')","('-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('As', 'soon', 'as', 'my', 'father', 'lifted', 'his', 'pen', 'from', 'the', 'check', 'a', 'chef', 'appeared', 'to', 'usher', 'us', 'out', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'pizza', 'is', 'the', 'best', 'if', 'you', 'like', 'thin', 'crusted', 'pizza', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '1', '2', '2', '0')","('-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Despite', 'a', 'slightly', 'limited', 'menu', ',', 'everything', 'prepared', 'is', 'done', 'to', 'perfection', ',', 'ultra', 'fresh', 'and', 'a', 'work', 'of', 'food', 'art', '.')","('0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0')","('-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
